PkMn, PokeName, Quick Move Name, Charge Move Name, Attack, Defense, Att*Def, Should use charge, Base Attack, Base Defense, Base Stamina, Quick Move PPS, Charge Move PPS, Charge PPS Active Fraction, Total PPS, IV10%, IV20%, IV30%, IV40%, IV50%, IV60%, IV70%, IV80%, IV90%, IV100%, Defender Quick Move PPS, Defender Charge PPS Active Fraction, Defender Total PPS, D_IV0%, D_IV10%, D_IV20%, D_IV30%, D_IV40%, D_IV50%, D_IV60%, D_IV70%, D_IV80%, D_IV90%, D_IV100%
1,BULBASAUR,VINE_WHIP_FAST,POWER_WHIP,28.788377193,10.62,305.732565789,1,118,118,90,14.5833333333,43.2692307692,0.342105263158,24.3969298246,318.780745271,332.191768092,345.97057463,360.122105263,374.65130037,389.563100329,404.862445518,420.554276316,436.6435331,453.13515625, 3.36538461538, 0.107142857143, 6.25,78.3225,81.6651796875,85.1008125,88.6306640625,92.256,95.9780859375,99.7981875,103.717570312,107.7375,111.859242187,116.0840625
1,BULBASAUR,VINE_WHIP_FAST,SLUDGE_BOMB,27.950913242,10.62,296.83869863,1,118,118,90,14.5833333333,43.4782608696,0.315068493151,23.6872146119,309.507302012,322.528193493,335.906169735,349.646027397,363.752563142,378.23057363,393.084855522,408.320205479,423.941420163,439.953296233, 3.36538461538, 0.095966620306, 5.96314325452,74.7277260083,77.9169864612,81.1949337622,84.5627754477,88.0217190542,91.5729721184,95.2177421766,98.9572367655,102.792663421,106.725229681,110.756143081
1,BULBASAUR,VINE_WHIP_FAST,SEED_BOMB,25.5393518519,10.62,271.227916667,1,118,118,90,14.5833333333,32.7380952381,0.388888888889,21.6435185185,282.803492622,294.700961806,306.924707031,319.479111111,332.368556858,345.597427083,359.170104601,373.090972222,387.36441276,401.994809028, 3.36538461538, 0.128048780488, 5.86890243902,73.5467378049,76.6855955602,79.9117385671,83.2263552782,86.6306341463,90.1257636242,93.7129321646,97.3933282203,101.168140244,105.038556688,109.005766006
1,BULBASAUR,TACKLE_FAST,POWER_WHIP,25.2302631579,10.62,267.945394737,1,118,118,90,10.0,43.2692307692,0.342105263158,21.3815789474,279.380877878,291.134358553,303.21016653,315.612631579,328.34608347,341.414851974,354.823266859,368.575657895,382.676354852,397.1296875, 2.0, 0.0942028985507, 4.66485507246,58.4580978261,60.9529964334,63.5172730978,66.1518724524,68.8577391304,71.6358177649,74.4870529891,77.4123894361,80.4127717391,83.4891445312,86.6424524457
1,BULBASAUR,TACKLE_FAST,SLUDGE_BOMB,24.2465753425,10.62,257.498630137,1,118,118,90,10.0,43.4782608696,0.315068493151,20.5479452055,268.488261986,279.783493151,291.388484589,303.30739726,315.544392123,328.103630137,340.98927226,354.205479452,367.756412671,381.646232877, 2.0, 0.0842490842491, 4.3956043956,55.083956044,57.4348516484,59.8511208791,62.3336538462,64.8833406593,67.5010714286,70.1877362637,72.9442252747,75.7714285714,78.6702362637,81.6415384615
1,BULBASAUR,TACKLE_FAST,SEED_BOMB,22.2342592593,10.62,236.127833333,1,118,118,90,10.0,32.7380952381,0.388888888889,18.8425925926,246.205393576,256.563190278,267.205039063,278.134755556,289.356155382,300.873054167,312.689267535,324.808611111,337.234900521,349.971951389, 2.0, 0.112903225806, 4.36155913978,54.6573145161,56.9900017389,59.38755625,61.8508612651,64.3808,66.9782556704,69.6441114919,72.3792506804,75.1845564516,78.0609120212,81.0092006048
2,IVYSAUR,VINE_WHIP_FAST,SOLAR_BEAM,37.5810961969,18.12,680.969463087,1,151,151,120,14.5833333333,45.9183673469,0.328859060403,24.8881431767,703.247928901,726.004060403,749.242897441,772.969479866,797.188847525,821.906040268,847.126097945,872.854060403,899.094967492,925.85385906, 3.36538461538, 0.101589495508, 6.28887353144,172.071126469,177.700572305,183.450717346,189.32283509,195.318199032,201.438082671,207.683759502,214.056503023,220.557586731,227.188284122,233.949868694
2,IVYSAUR,VINE_WHIP_FAST,SLUDGE_BOMB,35.7676940639,18.12,648.110616438,1,151,151,120,14.5833333333,43.4782608696,0.315068493151,23.6872146119,669.314078553,690.972157534,713.089650043,735.67135274,758.722062286,782.246575342,806.24968857,830.73619863,855.710902183,881.17859589, 3.36538461538, 0.095966620306, 5.96314325452,163.158755216,168.49662563,173.948943672,179.516916877,185.201752782,191.004658923,196.926842837,202.969512061,209.133874131,215.421136583,221.832506954
2,IVYSAUR,VINE_WHIP_FAST,POWER_WHIP,36.8393640351,18.12,667.529276316,1,151,151,120,14.5833333333,43.2692307692,0.342105263158,24.3969298246,689.368035567,711.675032895,734.455208676,757.713503289,781.454857113,805.684210526,830.406503906,855.626677632,881.349672081,907.580427632, 3.36538461538, 0.107142857143, 6.25,171.0075,176.602148437,182.31675,188.152570312,194.110875,200.192929687,206.4,212.733351562,219.19425,225.783960937,232.50375
2,IVYSAUR,RAZOR_LEAF_FAST,SOLAR_BEAM,35.9791511541,18.12,651.942218913,1,151,151,120,16.25,45.9183673469,0.255398361876,23.82725242,673.271034996,695.057155622,717.305405808,740.020610573,763.207594937,786.871183917,811.016202532,835.6474758,860.769828742,886.388086374, 5.41666666667, 0.102602452887, 8.15883936584,223.235635657,230.538969722,237.998892312,245.617055592,253.395111726,261.33471288,269.437511217,277.705158905,286.139308106,294.741610988,303.513719713
2,IVYSAUR,RAZOR_LEAF_FAST,SLUDGE_BOMB,34.5518154312,18.12,626.078895613,1,151,151,120,16.25,43.4782608696,0.243570347958,22.8819969743,646.561572192,667.483411498,688.849047135,710.663112708,732.930241821,755.655068079,778.842225085,802.496346445,826.622065762,851.224016641, 5.41666666667, 0.0969295605057, 7.84166164961,214.557272727,221.576687143,228.746602649,236.068607183,243.544288682,251.175235081,258.963034317,266.909274326,275.015543046,283.283428413,291.714518362
2,IVYSAUR,RAZOR_LEAF_FAST,POWER_WHIP,35.4252199413,18.12,641.904985337,1,151,151,120,16.25,43.2692307692,0.266862170088,23.4604105572,662.90542522,684.356129032,706.261847507,728.627331378,751.457331378,774.75659824,798.529882698,822.781935484,847.517507331,872.741348974, 5.41666666667, 0.10820451843, 8.10790725327,221.842071938,229.099814442,236.513167955,244.083774329,251.813275416,259.703313067,267.755529132,275.971565463,284.353063912,292.901666329,301.619014566
3,VENUSAUR,VINE_WHIP_FAST,SOLAR_BEAM,49.2785234899,31.68,1561.14362416,1,198,198,160,14.5833333333,45.9183673469,0.328859060403,24.8881431767,1599.74522756,1638.97457215,1678.83669778,1719.3366443,1760.47945155,1802.2701594,1844.71380768,1887.81543624,1931.58008494,1976.01279362, 3.36538461538, 0.101589495508, 6.28887353144,394.478396683,404.232463113,414.145150657,424.217732809,434.451483068,444.847674931,455.407581894,466.132477453,477.023635107,488.082328352,499.309830684
3,VENUSAUR,VINE_WHIP_FAST,SLUDGE_BOMB,46.9006849315,31.68,1485.81369863,1,198,198,160,14.5833333333,43.4782608696,0.315068493151,23.6872146119,1522.55265732,1559.88906678,1597.82772367,1636.37342466,1675.5309664,1715.30514555,1755.70075878,1796.72260274,1838.3754741,1880.66416952, 3.36538461538, 0.095966620306, 5.96314325452,374.04650904,383.29536659,392.69462952,402.245505368,411.949201669,421.806925961,431.819885779,441.98928866,452.316342142,462.80225376,473.44823105
3,VENUSAUR,VINE_WHIP_FAST,PETAL_BLIZZARD,44.5238095238,31.68,1410.51428571,1,198,198,160,14.5833333333,52.8846153846,0.206349206349,22.4867724868,1445.39135417,1480.83559524,1516.8515625,1553.44380952,1590.61688988,1628.37535714,1666.72376488,1705.66666667,1745.20861607,1785.35416667, 3.36538461538, 0.0566037735849, 5.27031930334,330.588156749,338.762441752,347.069657384,355.510870884,364.087149492,372.799560448,381.649170991,390.63704836,399.764259797,409.031872539,418.440953828
