PkMn, PokeName, Quick Move Name, Charge Move Name, Attack, Defense, Att*Def, Should use charge, Base Attack, Base Defense, Base Stamina, Quick Move PPS, Charge Move PPS, Charge PPS Active Fraction, Total PPS, IV10%, IV20%, IV30%, IV40%, IV50%, IV60%, IV70%, IV80%, IV90%, IV100%
1,Bulbasaur,Vine Whip,Sludge Bomb,22.9850591716,11.34,260.650571006,1,126,126,90,13.4615384615,26.7788461538,0.358974358974,18.2421104536,271.341701877,282.317272855,293.580977968,305.136511243,316.987566707,329.137838388,341.591020312,354.350806509,367.420891004,380.804967825
1,Bulbasaur,Vine Whip,Seed Bomb,21.2274208145,11.34,240.718952036,1,126,126,90,13.4615384615,21.1698717949,0.439215686275,16.8471593766,250.592545673,260.728828643,271.131212494,281.803108778,292.747929044,303.969084842,315.469987721,327.254049231,339.324680922,351.685294344
1,Bulbasaur,Vine Whip,Power Whip,22.1542553191,11.34,251.229255319,1,126,126,90,13.4615384615,31.25,0.231678486998,17.5827423168,261.53395113,272.112805851,282.969379987,294.107234043,305.529928524,317.241023936,329.244080785,341.542659574,354.140320811,367.040625
1,Bulbasaur,Tackle,Sludge Bomb,20.1380808081,11.34,228.365836364,1,126,126,90,10.9090909091,26.715034965,0.320987654321,15.9826038159,237.732741004,247.348854394,257.217413011,267.341653333,277.724811837,288.370125,299.280829299,310.460161212,321.911357216,333.637653788
1,Bulbasaur,Tackle,Seed Bomb,18.8591587517,11.34,213.862860244,1,126,126,90,10.9090909091,21.1060606061,0.398009950249,14.9675863109,222.634894844,231.640311533,240.882141248,250.363414925,260.087163501,270.05641791,280.274209091,290.743567978,301.467525509,312.449112619
1,Bulbasaur,Tackle,Power Whip,18.9456521739,11.34,214.843695652,1,126,126,90,10.9090909091,31.25,0.202898550725,15.0362318841,223.655961277,232.702679348,241.986894701,251.511652174,261.279996603,271.294972826,281.559625679,292.077,302.850140625,313.882092391
2,Ivysaur,Razor Leaf,Sludge Bomb,26.6657134307,18.96,505.581926645,1,156,158,120,12.9310344828,26.7655835544,0.300867888139,17.0934060453,521.730387838,538.216144665,555.042658541,572.213390882,589.731803102,607.601356616,625.825512838,644.407733183,663.351479066,682.660211901
2,Ivysaur,Razor Leaf,Solar Beam,28.276022808,18.96,536.11339244,1,156,158,120,12.9310344828,30.93552076,0.288518155054,18.1256556462,553.237039185,570.71835043,588.560996621,606.768648201,625.344975618,644.293649316,663.61833974,683.322717336,703.410452549,723.885215824
2,Ivysaur,Razor Leaf,Power Whip,25.548712206,18.96,484.403583427,1,156,158,120,12.9310344828,31.25,0.188129899216,16.3773796193,499.875601029,515.670785274,531.792452583,548.243919373,565.028502065,582.149517077,599.61028083,617.414109742,635.564320234,654.064228723
2,Ivysaur,Vine Whip,Sludge Bomb,28.4576923077,18.96,539.557846154,1,156,158,120,13.4615384615,26.7788461538,0.358974358974,18.2421104536,556.791509939,574.385136169,592.34241887,610.667052071,629.362729798,648.43314608,667.881994943,687.712970414,707.929766522,728.536077293
2,Ivysaur,Vine Whip,Solar Beam,30.4230362538,18.96,576.820767372,1,156,158,120,13.4615384615,30.9487833595,0.345417925478,19.5019463165,595.244621718,614.053298221,633.250746023,652.840914269,672.827752103,693.21520867,714.007233113,735.207774576,756.820782204,778.85020514
2,Ivysaur,Vine Whip,Power Whip,27.4290780142,18.96,520.055319149,1,156,158,120,13.4615384615,31.25,0.231678486998,17.5827423168,536.666065492,553.623763298,570.931973072,588.594255319,606.614170545,624.995279255,643.741141955,662.855319149,682.341371343,702.202859043
3,Venusaur,Razor Leaf,Sludge Bomb,33.8449439697,32.0,1083.03820703,1,198,200,160,12.9310344828,26.7655835544,0.300867888139,17.0934060453,1109.73449629,1136.86346239,1164.42856675,1192.43327077,1220.88103589,1249.7753235,1279.11959502,1308.91731187,1339.17193547,1369.88692723
3,Venusaur,Razor Leaf,Petal Blizzard,34.3672615901,32.0,1099.75237088,1,198,200,160,12.9310344828,25.7139008621,0.346257889991,17.3572028233,1126.86065498,1154.40829328,1182.39880061,1210.8356918,1239.72248169,1269.06268511,1298.85981689,1329.11739187,1359.83892488,1391.02793076
3,Venusaur,Razor Leaf,Solar Beam,35.8887981794,32.0,1148.44154174,1,198,200,160,12.9310344828,30.93552076,0.288518155054,18.1256556462,1176.74998682,1205.51723755,1234.74696439,1264.44283777,1294.60852815,1325.24770597,1356.36404168,1387.96120571,1420.04286852,1452.61270055
3,Venusaur,Vine Whip,Sludge Bomb,36.1193786982,32.0,1155.82011834,1,198,200,160,13.4615384615,26.7788461538,0.358974358974,18.2421104536,1184.31044123,1213.26251753,1242.68004128,1272.56670651,1302.92620724,1333.7622375,1365.07849132,1396.87866272,1429.16644574,1461.94553439
3,Venusaur,Vine Whip,Petal Blizzard,36.5628625473,32.0,1170.01160151,1,198,200,160,13.4615384615,25.7271634615,0.408014571949,18.4660921956,1198.85173656,1228.15929457,1257.93801492,1288.19163699,1318.92390017,1350.13854385,1381.83930741,1414.02993022,1446.71415168,1479.89571117
3,Venusaur,Vine Whip,Solar Beam,38.6138537067,32.0,1235.64331861,1,198,200,160,13.4615384615,30.9487833595,0.345417925478,19.5019463165,1266.10123898,1297.05280235,1328.50195789,1360.45265473,1392.90884202,1425.8744689,1459.35348452,1493.34983802,1527.86747854,1562.91035524
4,Charmander,Ember,Flame Charge,15.2380952381,8.424,128.365714286,0,128,108,78,11.9047619048,10.3782642089,0.345417925478,11.9047619048,134.2059375,140.216785714,146.400669643,152.76,159.2971875,166.014642857,172.914776786,180.0,187.272723214,194.735357143
4,Charmander,Ember,Flame Burst,18.7936507937,8.424,158.317714286,1,128,108,78,11.9047619048,18.1547619048,0.444444444444,14.6825396825,165.52065625,172.934035714,180.560825893,188.404,196.46653125,204.751392857,213.261558036,222.0,230.969691964,240.173607143
4,Charmander,Ember,Flamethrower,20.7490505405,8.424,174.790001753,1,128,108,78,11.9047619048,24.0045155993,0.355828220859,16.2101957347,182.742379314,190.927089505,199.347414891,208.006638037,216.908041507,226.054907866,235.450519678,245.098159509,255.001109923,265.162653484
4,Charmander,Scratch,Flame Charge,15.36,8.424,129.39264,0,128,108,78,12.0,10.3806451613,0.355828220859,12.0,135.279585,141.33852,147.571875,153.98208,160.571565,167.34276,174.298095,181.44,188.770905,196.29324
4,Charmander,Scratch,Flame Burst,19.6192941176,8.424,165.272933647,1,128,108,78,12.0,18.1571428571,0.540441176471,15.3275735294,172.79231551,180.53137982,188.493230411,196.680971118,205.097705773,213.74653821,222.630572262,231.752911765,241.11666055,250.724922452
4,Charmander,Scratch,Flamethrower,22.2471346578,8.424,187.409862358,1,128,108,78,12.0,24.0068965517,0.448123620309,17.3805739514,195.936402601,204.712049921,213.740323882,223.024744053,232.568829998,242.376101285,252.450077478,262.794278146,273.412222853,284.307431166
5,Charmeleon,Ember,Fire Punch,23.5168927906,16.24,381.91433892,1,160,140,116,11.9047619048,18.1547619048,0.446927374302,14.6980579941,394.663342561,407.690470205,420.998698208,434.591002926,448.470360718,462.639747938,477.102140945,491.860516095,506.917849744,522.27711825
5,Charmeleon,Ember,Flame Burst,23.4920634921,16.24,381.511111111,1,160,140,116,11.9047619048,18.1547619048,0.444444444444,14.6825396825,394.246654266,407.260027778,420.554204861,434.13215873,447.996862599,462.151289683,476.598413194,491.341206349,506.382642361,521.725694444
5,Charmeleon,Ember,Flamethrower,25.9363131756,16.24,421.205725971,1,160,140,116,11.9047619048,24.0045155993,0.355828220859,16.2101957347,435.266348438,449.633708333,464.311088222,479.301770669,494.609038239,510.236173495,526.186459004,542.46317733,559.069611037,576.009042689
5,Charmeleon,Scratch,Fire Punch,24.5486980609,16.24,398.67085651,1,160,140,116,12.0,18.1571428571,0.542936288089,15.3429362881,411.979223553,425.577917307,439.470044719,453.658712731,468.147028289,482.938098338,498.035029821,513.440929684,529.158904871,545.192062327
5,Charmeleon,Scratch,Flame Burst,24.5241176471,16.24,398.271670588,1,160,140,116,12.0,18.1571428571,0.540441176471,15.3275735294,411.56671207,425.151789563,439.030006898,453.204467912,467.678276436,482.454536305,497.536351352,512.926825412,528.629062317,544.646165901
5,Charmeleon,Scratch,Flamethrower,27.8089183223,16.24,451.616833554,1,160,140,116,12.0,24.0068965517,0.448123620309,17.3805739514,466.692634771,482.097319898,497.834408503,513.90742015,530.319874407,547.075290839,564.177189013,581.629088494,599.43450885,617.596969647
6,Charizard,Ember,Fire Blast,36.4785551207,28.392,1035.69913699,1,212,182,156,11.9047619048,30.7854239257,0.280821917808,17.206865623,1061.73534006,1088.20089744,1115.09929353,1142.43401272,1170.20853939,1198.42635794,1227.09095275,1256.20580822,1285.77440873,1315.80023869
6,Charizard,Ember,Dragon Claw,31.3232804233,28.392,889.330577778,1,212,182,156,11.9047619048,24.8214285714,0.222222222222,14.7751322751,911.687255208,934.412609127,957.509631498,980.981314286,1004.83064945,1029.06062897,1053.67424479,1078.67448889,1104.06435322,1129.84682976
6,Charizard,Ember,Flamethrower,34.3656149576,28.392,975.708539877,1,212,182,156,11.9047619048,24.0045155993,0.355828220859,16.2101957347,1000.23665309,1025.16925121,1050.5096168,1076.26103243,1102.42678066,1129.01014406,1156.0144052,1183.44284663,1211.29875092,1239.58540064
6,Charizard,Wing Attack,Fire Blast,41.10719865,28.392,1167.11558407,1,212,182,156,15.0,30.862804878,0.276759884282,19.3901880424,1196.45543506,1226.27911973,1256.59056457,1287.3936961,1318.69244085,1350.49072531,1382.792476,1415.60161944,1448.92208214,1482.75779061
6,Charizard,Wing Attack,Dragon Claw,36.5341145833,28.392,1037.27658125,1,212,182,156,15.0,25.2083333333,0.21875,17.2330729167,1063.35243933,1089.85830566,1116.79766995,1144.17402187,1171.99085115,1200.25164746,1228.95990051,1258.1191,1287.73273562,1317.80429707
6,Charizard,Wing Attack,Flamethrower,38.5620847751,28.392,1094.85471093,1,212,182,156,15.0,24.0818965517,0.351211072664,18.1896626298,1122.37801241,1150.35519145,1178.78993144,1207.68591581,1237.04682796,1266.87635129,1297.17816921,1327.95596512,1359.21342244,1390.95422457
7,Squirtle,Bubble,Aqua Jet,15.2491698661,12.496,190.553626647,1,112,142,88,13.5869565217,13.6375462535,0.560859188544,13.6153302376,198.471877234,206.602424858,214.948026623,223.511439634,232.295420994,241.302727809,250.536117182,259.998346218,269.692172021,279.620351696
7,Squirtle,Bubble,Aqua Tail,19.2653268689,12.496,240.739524554,1,112,142,88,13.5869565217,24.2758441258,0.338129496403,17.2011847044,250.743196041,261.015077001,271.558650673,282.377400297,293.474809114,304.854360362,316.519537283,328.473823115,340.7207011,353.263654476
7,Squirtle,Bubble,Water Pulse,15.2241847826,12.496,190.241413043,1,112,142,88,13.5869565217,13.5972496706,0.589285714286,13.5930221273,198.146689931,206.263916016,214.595843885,223.145226126,231.914815325,240.90736407,250.125624947,259.572350543,269.250293446,279.162206243
7,Squirtle,Tackle,Aqua Jet,13.7577622378,12.496,171.916996923,1,112,142,88,10.9090909091,13.5705996132,0.516483516484,12.2837162837,179.060822448,186.396181818,193.925562488,201.651451908,209.576337532,217.702706813,226.033047203,234.569846154,243.315591119,252.27276955
7,Squirtle,Tackle,Aqua Tail,16.6774290677,12.496,208.401153631,1,112,142,88,10.9090909091,24.2088974855,0.299363057325,14.8905616676,217.061038966,225.953105385,235.080368225,244.445842826,254.052544525,263.903488662,274.001690576,284.350165605,294.951929088,305.809996364
7,Squirtle,Tackle,Water Pulse,13.8195041322,12.496,172.688523636,1,112,142,88,10.9090909091,13.5303030303,0.545454545455,12.3388429752,179.864409122,187.232688017,194.795858936,202.556420496,210.516871312,218.67971,227.047435176,235.622545455,244.407539452,253.404915785
8,Wartortle,Water Gun,Aqua Jet,21.6,20.768,448.5888,0,144,176,118,15.0,13.6728723404,0.545454545455,15.0,462.93553125,477.58095,492.52809375,507.78,523.33970625,539.21025,555.39466875,571.896,588.71728125,605.86155
8,Wartortle,Water Gun,Ice Beam,23.9168545994,20.768,496.70523632,1,144,176,118,15.0,18.1832191781,0.505440158259,16.6089268051,512.590823602,528.807136139,545.357537238,562.245390208,579.474058355,597.046904989,614.967293416,633.238586944,651.86414888,670.847342533
8,Wartortle,Water Gun,Hydro Pump,29.0909138381,20.768,604.16009859,1,144,176,118,15.0,29.9802631579,0.34725848564,20.2020234987,623.482298713,643.206771629,663.337608247,683.878899478,704.834736231,726.209209416,748.006409942,770.230428721,792.88535666,815.97528467
8,Wartortle,Bite,Aqua Jet,18.7110170132,20.768,388.590401331,1,144,176,118,12.0,13.5978723404,0.621928166352,12.9937618147,401.018268576,413.704874104,426.652849151,439.864824953,453.343432747,467.091303771,481.111069261,495.405360454,509.976808586,524.828044894
8,Wartortle,Bite,Ice Beam,21.725768546,20.768,451.200761163,1,144,176,118,12.0,18.1082191781,0.505440158259,15.0873392681,465.631027947,480.361721374,495.39589663,510.736608902,526.386913376,542.349865237,558.628519673,575.225931869,592.145157012,609.389250288
8,Wartortle,Bite,Hydro Pump,26.2335665796,20.768,544.818710726,1,144,176,118,12.0,29.9052631579,0.34725848564,18.2177545692,562.243059311,580.030168935,598.183728691,616.707427676,635.604954985,654.879999713,674.536250955,694.577397807,715.007129364,735.829134721
9,Blastoise,Water Gun,Flash Cannon,28.7806335616,35.076,1009.50950281,1,186,222,158,15.0,15.7596153846,0.623287671233,15.4734589041,1034.25324633,1059.39423223,1084.93559388,1110.88046466,1137.23197793,1163.99326708,1191.16746548,1218.75770651,1246.76712353,1275.19884994
9,Blastoise,Water Gun,Ice Beam,30.8926038576,35.076,1083.58897291,1,186,222,158,15.0,18.1832191781,0.505440158259,16.6089268051,1110.14845309,1137.13432595,1164.54995478,1192.39870291,1220.68393363,1249.40901026,1278.57729609,1308.19215445,1338.25694864,1368.77504195
9,Blastoise,Water Gun,Hydro Pump,37.5757637076,35.076,1318.00748781,1,186,222,158,15.0,29.9802631579,0.34725848564,20.2020234987,1350.31272035,1383.13658934,1416.48318569,1450.35660031,1484.76092411,1519.70024799,1555.17866287,1591.20025966,1627.76912926,1664.88936259
9,Blastoise,Bite,Flash Cannon,26.591630137,35.076,932.728018685,1,186,222,158,12.0,15.6846153846,0.623287671233,14.2965753425,955.58979741,978.818604966,1002.41733641,1026.38888679,1050.73615118,1075.46202462,1100.56940218,1126.0611789,1151.94024986,1178.20951009
9,Blastoise,Bite,Ice Beam,28.0624510386,35.076,984.318532629,1,186,222,158,12.0,18.1082191781,0.505440158259,15.0873392681,1008.44482887,1032.95845482,1057.86246568,1083.15991663,1108.85386285,1134.94735954,1161.44346188,1188.34522504,1215.65570423,1243.37795463
9,Blastoise,Bite,Hydro Pump,33.8850234987,35.076,1188.55108424,1,186,222,158,12.0,29.9052631579,0.34725848564,18.2177545692,1217.68325498,1247.28312102,1277.35437146,1307.90069539,1338.92578192,1370.43332013,1402.42699912,1434.91050799,1467.88753583,1501.36177173
10,Caterpie,Bug Bite,Struggle,8.61111111111,5.94,51.15,0,62,66,90,13.8888888889,8.84955752212,0.34725848564,13.8888888889,54.47109375,57.93125,61.53328125,65.28,69.17421875,73.21875,77.41640625,81.77,86.28234375,90.95625
10,Caterpie,Tackle,Struggle,6.76363636364,5.94,40.176,0,62,66,90,10.9090909091,8.84955752212,0.34725848564,10.9090909091,42.7845681818,45.5023636364,48.3315954545,51.2744727273,54.3332045455,57.51,60.8070681818,64.2266181818,67.7708590909,71.442
11,Metapod,Bug Bite,Struggle,7.77777777778,8.6,66.8888888889,0,56,86,100,13.8888888889,8.84955752212,0.34725848564,13.8888888889,70.9266493056,75.1184722222,79.4671701389,83.9755555556,88.6464409722,93.4826388889,98.4869618056,103.662222222,109.011232639,114.536805556
11,Metapod,Tackle,Struggle,6.10909090909,8.6,52.5381818182,0,56,86,100,10.9090909091,8.84955752212,0.34725848564,10.9090909091,55.7096590909,59.0021454545,62.41785,65.9589818182,69.62775,73.4263636364,77.3570318182,81.4219636364,85.6233681818,89.9634545455
12,Butterfree,Bug Bite,Bug Buzz,26.9832535885,17.28,466.27062201,1,144,144,120,13.8888888889,22.4060457516,0.569377990431,18.7383705476,481.985626738,498.04846247,514.462923725,531.232805024,548.361900886,565.854005831,583.71291438,601.942421053,620.546320369,639.528406848
12,Butterfree,Bug Bite,Psychic,24.0902612827,17.28,416.279714964,1,144,144,120,13.8888888889,19.9900793651,0.465558194774,16.729348113,430.309845494,444.650514549,459.30510982,474.277019002,489.569629788,505.186329869,521.13050694,537.405548694,554.014842822,570.961777019
12,Butterfree,Bug Bite,Signal Beam,23.9357045144,17.28,413.608974008,1,144,144,120,13.8888888889,18.4923835125,0.593707250342,16.6220170239,427.549090918,441.797754018,456.358329269,471.234182627,486.428680051,501.9451875,517.787070932,533.957696306,550.460429581,567.298636713
