PkMn, PokeName, Quick Move Name, Charge Move Name, Attack, Defense, Att*Def, Should use charge, Base Attack, Base Defense, Base Stamina, Quick Move PPS, Charge Move PPS, Charge PPS Active Fraction, Total PPS, IV10%, IV20%, IV30%, IV40%, IV50%, IV60%, IV70%, IV80%, IV90%, IV100%, Defender Quick Move PPS, Defender Charge PPS Active Fraction, Defender Total PPS, D_IV0%, D_IV10%, D_IV20%, D_IV30%, D_IV40%, D_IV50%, D_IV60%, D_IV70%, D_IV80%, D_IV90%, D_IV100%
1,Bulbasaur,Vine Whip,Sludge Bomb,22.8328402367,11.34,258.924408284,1,126,126,90,13.4615384615,26.4423076923,0.358974358974,18.1213017751,269.544736964,280.447622041,291.636733081,303.115739645,314.888311298,326.958117604,339.328828125,352.004112426,364.98764007,378.283080621, 3.30188679245, 0.120769741208, 5.13852023889,73.4212325813,76.4327587145,79.5244072246,82.6972186619,85.9522335766,89.2904925193,92.7130360401,96.2209046896,99.8151390179,103.496779576,107.266866913
1,Bulbasaur,Vine Whip,Seed Bomb,21.0411764706,11.34,238.606941176,1,126,126,90,13.4615384615,20.8333333333,0.439215686275,16.6993464052,248.39390625,258.441255882,268.752371691,279.330635294,290.179428309,301.302132353,312.702129044,324.3828,336.347526838,348.599691176, 3.30188679245, 0.161151079137, 5.11990407674,73.1552374101,76.1558531924,79.2363010791,82.3976178507,85.6408402878,88.9670051709,92.3771492806,95.8723093975,99.4535223022,103.121824775,106.878253597
1,Bulbasaur,Vine Whip,Power Whip,22.1542553191,11.34,251.229255319,1,126,126,90,13.4615384615,31.25,0.231678486998,17.5827423168,261.53395113,272.112805851,282.969379987,294.107234043,305.529928524,317.241023936,329.244080785,341.542659574,354.140320811,367.040625, 3.30188679245, 0.0688685874912, 4.58099086437,65.4550298665,68.1398054561,70.8960101458,73.7245715862,76.626417428,79.6024753217,82.6536729181,85.7809378678,88.9851978215,92.2673804298,95.6284133433
1,Bulbasaur,Tackle,Sludge Bomb,20.0277777778,11.34,227.115,1,126,126,90,10.9090909091,26.4423076923,0.320987654321,15.8950617284,236.430598958,245.994041667,255.808546875,265.877333333,276.203619792,286.790625,297.641567708,308.759666667,320.148140625,331.810208333, 3.87096774194, 0.14364640884, 5.97375690608,85.3554281768,88.8564604195,92.4506384669,96.1391720045,99.9232707182,103.804144294,107.783002417,111.861054774,116.03951105,120.319580931,124.702474102
1,Bulbasaur,Tackle,Seed Bomb,18.7223880597,11.34,212.311880597,1,126,126,90,10.9090909091,20.8333333333,0.398009950249,14.8590381426,221.020298507,229.96040597,239.13521194,248.547725373,258.200955224,268.097910448,278.2416,288.635032836,299.28121791,310.183164179, 3.87096774194, 0.190023752969, 5.90657165479,84.3954584323,87.8571154988,91.4108707838,95.0579203682,98.7994603325,102.636686758,106.570795724,110.602983314,114.734445606,118.966378682,123.299978622
1,Bulbasaur,Tackle,Power Whip,18.9456521739,11.34,214.843695652,1,126,126,90,10.9090909091,31.25,0.202898550725,15.0362318841,223.655961277,232.702679348,241.986894701,251.511652174,261.279996603,271.294972826,281.559625679,292.077,302.850140625,313.882092391, 3.87096774194, 0.0828402366864, 5.3624260355,76.6204881657,79.7632384893,82.9896024408,86.3006659116,89.6975147929,93.181234976,96.7529123521,100.413632812,104.164482249,108.006546551,111.940911612
2,Ivysaur,Razor Leaf,Sludge Bomb,26.5139826422,18.96,502.705110897,1,156,158,120,12.9310344828,26.4423076923,0.300867888139,16.9961427194,518.761685601,535.153636692,551.884405888,568.957434908,586.376165471,604.144039296,622.264498101,640.740983607,659.57693753,678.775801591, 5.4347826087, 0.153166421208, 7.43740795287,219.980677467,227.006936211,234.179953608,241.501235733,248.97228866,256.594618465,264.369731222,272.299133008,280.384329897,288.626827964,297.028133284
2,Ivysaur,Razor Leaf,Solar Beam,28.1305201178,18.96,533.354661433,1,156,158,120,12.9310344828,30.612244898,0.288518155054,18.0323846909,550.390193357,567.781549313,585.532380857,603.646339549,622.127076944,640.978244603,660.203494081,679.806476938,699.790844731,720.160249019, 5.4347826087, 0.145616641902, 7.76374442793,229.632927192,236.967482123,244.455235141,252.097758405,259.896624071,267.8534043,275.969671248,284.246997075,292.686953938,301.291113995,310.061049406
2,Ivysaur,Razor Leaf,Power Whip,25.548712206,18.96,484.403583427,1,156,158,120,12.9310344828,31.25,0.188129899216,16.3773796193,499.875601029,515.670785274,531.792452583,548.243919373,565.028502065,582.149517077,599.61028083,617.414109742,635.564320234,654.064228723, 5.4347826087, 0.0887480190174, 6.89381933439,203.902630745,210.415351129,217.064103803,223.850284766,230.775290016,237.840515551,245.047357369,252.39721147,259.891473851,267.531540511,275.318807448
2,Ivysaur,Vine Whip,Sludge Bomb,28.2692307692,18.96,535.984615385,1,156,158,120,13.4615384615,26.4423076923,0.358974358974,18.1213017751,553.104148946,570.581261095,588.419621394,606.622899408,625.1947647,644.138886834,663.458935374,683.158579882,703.241489922,723.711335059, 3.30188679245, 0.120769741208, 5.13852023889,151.985096218,156.839552635,161.795404902,166.853693571,172.01545919,177.281742312,182.653583485,188.132023261,193.71810219,199.412860821,205.217339706
2,Ivysaur,Vine Whip,Solar Beam,30.2416918429,18.96,573.382477341,1,156,158,120,13.4615384615,30.612244898,0.345417925478,19.3856998993,591.696511518,610.393074018,629.476090446,648.949486405,668.8171875,689.083119335,709.751207515,730.825377644,752.309555325,774.207666163, 3.30188679245, 0.114600735048, 5.37921817574,159.104363515,164.186211786,169.374205479,174.669433887,180.072986301,185.585952013,191.209420314,196.944480496,202.792221851,208.75373367,214.830105246
2,Ivysaur,Vine Whip,Power Whip,27.4290780142,18.96,520.055319149,1,156,158,120,13.4615384615,31.25,0.231678486998,17.5827423168,536.666065492,553.623763298,570.931973072,588.594255319,606.614170545,624.995279255,643.741141955,662.855319149,682.341371343,702.202859043, 3.30188679245, 0.0688685874912, 4.58099086437,135.49471539,139.822463353,144.240605719,148.750070137,153.351784259,158.046675735,162.835672215,167.719701352,172.699690794,177.776568193,182.9512612
3,Venusaur,Razor Leaf,Sludge Bomb,33.6523625844,32.0,1076.8756027,1,198,200,160,12.9310344828,26.4423076923,0.300867888139,16.9961427194,1103.41998719,1130.39458655,1157.80284248,1185.64819672,1213.93409098,1242.66396697,1271.84126642,1301.46943105,1331.55190257,1362.09212271, 5.4347826087, 0.153166421208, 7.43740795287,471.234167894,482.849827964,494.653747423,506.647432345,518.832388807,531.210122883,543.782140648,556.549948177,569.515051546,582.67895683,596.043170103
3,Venusaur,Razor Leaf,Petal Blizzard,34.1456266907,32.0,1092.6600541,1,198,200,160,12.9310344828,25.390625,0.346257889991,17.2452660054,1119.59351654,1146.96349977,1174.77349597,1203.02699729,1231.72749591,1260.87848399,1290.4834537,1320.5458972,1351.06930667,1382.05717426, 5.4347826087, 0.182076813656, 7.6813655761,486.691322902,498.687993243,510.879098151,523.266193101,535.85083357,548.634575036,561.618972973,574.805582859,588.195960171,601.791660384,615.594238976
3,Venusaur,Razor Leaf,Solar Beam,35.7041216879,32.0,1142.53189401,1,198,200,160,12.9310344828,30.612244898,0.288518155054,18.0323846909,1170.69466956,1199.31388984,1228.39320642,1257.93627085,1287.9467347,1318.42824951,1349.38446685,1380.81903827,1412.73561534,1445.13784961, 5.4347826087, 0.145616641902, 7.76374442793,491.910846954,504.036175659,516.358024146,528.877964571,541.597569094,554.518409872,567.642059064,580.970088828,594.504071322,608.245578705,622.196183135
3,Venusaur,Vine Whip,Sludge Bomb,35.8801775148,32.0,1148.16568047,1,198,200,160,13.4615384615,26.4423076923,0.358974358974,18.1213017751,1176.46732572,1205.22766642,1234.45037213,1264.13911243,1294.29755686,1324.929375,1356.03823641,1387.62781065,1419.70176729,1452.26377589, 3.30188679245, 0.120769741208, 5.13852023889,325.576642336,333.601925437,341.757277331,350.043738569,358.462349701,367.014151278,375.70018385,384.521487968,393.47910418,402.574073039,411.807435095
