PkMn, PokeName, Quick Move Name, Charge Move Name, Attack(IV0), Defense(IV0), Att*Def(IV0), Should use charge, Base Attack, Base Defense, Base Stamina, Quick Move PPS, Charge Move PPS, Charge PPS Active Fraction, Total PPS, IV10%, IV20%, IV30%, IV40%, IV50%, IV60%, IV70%, IV80%, IV90%, IV100%
1,Bulbasaur,Vine Whip,Sludge Bomb,22.9850591716,11.34,260.650571006,1,126,126,90,13.4615384615,26.7788461538,0.358974359,18.2421104536,271.341701877,282.317272855,293.580977968,305.136511243,316.987566707,329.137838388,341.591020312,354.350806509,367.420891004,380.804967825
1,Bulbasaur,Vine Whip,Seed Bomb,21.2274208145,11.34,240.718952036,1,126,126,90,13.4615384615,21.1698717949,0.4392156863,16.8471593766,250.592545673,260.728828643,271.131212494,281.803108778,292.747929044,303.969084842,315.469987721,327.254049231,339.324680922,351.685294344
1,Bulbasaur,Vine Whip,Power Whip,22.1542553191,11.34,251.229255319,1,126,126,90,13.4615384615,31.25,0.231678487,17.5827423168,261.53395113,272.112805851,282.969379987,294.107234043,305.529928524,317.241023936,329.244080785,341.542659574,354.140320811,367.040625
1,Bulbasaur,Tackle,Sludge Bomb,17.0403576751,11.34,193.237656036,1,126,126,90,10.9090909091,21.4265734266,0.2486338798,13.5240933929,201.163704545,209.300627481,217.651163472,226.218051148,235.004029136,244.011836066,253.244210566,262.703891267,272.393616796,282.316125782
1,Bulbasaur,Tackle,Seed Bomb,16.1493990755,11.34,183.134185516,1,126,126,90,10.9090909091,16.9393939394,0.3163841808,12.8169833933,190.645818952,198.357301202,206.271227704,214.390193898,222.716795223,231.253627119,240.003285023,248.968364376,258.151460616,267.555169183
1,Bulbasaur,Tackle,Power Whip,16.4305555556,11.34,186.3225,1,126,126,90,10.9090909091,25,0.1512345679,13.0401234568,193.964908854,201.810645833,209.862351562,218.122666667,226.594231771,235.2796875,244.181674479,253.302833333,262.645804687,272.213229167
2,Ivysaur,Razor Leaf,Sludge Bomb,24.503069992,18.96,464.578207049,1,156,158,120,12.9310344828,26.7655835544,0.2006615215,15.7070961487,479.416995288,494.565723803,510.027573279,525.805724404,541.903357865,558.323654348,575.069794541,592.14495913,609.552328803,627.295084247
2,Ivysaur,Razor Leaf,Solar Beam,25.5454425255,18.96,484.341590284,1,156,158,120,12.9310344828,30.93552076,0.191299498,16.3752836702,499.811627804,515.604790609,531.724394694,548.173756053,564.956190683,582.075014577,599.533543731,617.33509414,635.482981798,653.980522701
2,Ivysaur,Razor Leaf,Power Whip,23.5753341434,18.96,446.988335358,1,156,158,120,12.9310344828,31.25,0.1190765492,15.1123936817,461.265297027,475.840464004,490.716896548,505.897654921,521.385799381,537.184390188,553.296487603,569.725151883,586.473443291,603.544422084
2,Ivysaur,Vine Whip,Sludge Bomb,28.4576923077,18.96,539.557846154,1,156,158,120,13.4615384615,26.7788461538,0.358974359,18.2421104536,556.791509939,574.385136169,592.34241887,610.667052071,629.362729798,648.43314608,667.881994943,687.712970414,707.929766522,728.536077293
2,Ivysaur,Vine Whip,Solar Beam,30.4230362538,18.96,576.820767372,1,156,158,120,13.4615384615,30.9487833595,0.3454179255,19.5019463165,595.244621718,614.053298221,633.250746023,652.840914269,672.827752103,693.21520867,714.007233113,735.207774576,756.820782204,778.85020514
2,Ivysaur,Vine Whip,Power Whip,27.4290780142,18.96,520.055319149,1,156,158,120,13.4615384615,31.25,0.231678487,17.5827423168,536.666065492,553.623763298,570.931973072,588.594255319,606.614170545,624.995279255,643.741141955,662.855319149,682.341371343,702.202859043
3,Venusaur,Razor Leaf,Sludge Bomb,31.1000503745,32,995.201611983,1,198,200,160,12.9310344828,26.7655835544,0.2006615215,15.7070961487,1019.73277804,1044.66152998,1069.99104846,1095.7245142,1121.86510787,1148.41601015,1175.38040175,1202.76146333,1230.5623756,1258.78631923
3,Venusaur,Razor Leaf,Petal Blizzard,31.5775862069,32,1010.48275862,1,198,200,160,12.9310344828,25.7139008621,0.2360379347,15.9482758621,1035.39059644,1060.702125,1086.42057381,1112.54917241,1139.09115032,1166.04973707,1193.42816218,1221.22965517,1249.45744558,1278.11476293
3,Venusaur,Razor Leaf,Solar Beam,32.423061667,32,1037.53797334,1,198,200,160,12.9310344828,30.93552076,0.191299498,16.3752836702,1063.11270716,1089.10194034,1115.50898889,1142.33716879,1169.58979604,1197.27018665,1225.38165659,1253.92752188,1282.91109849,1312.33570244
3,Venusaur,Vine Whip,Sludge Bomb,36.1193786982,32,1155.82011834,1,198,200,160,13.4615384615,26.7788461538,0.358974359,18.2421104536,1184.31044123,1213.26251753,1242.68004128,1272.56670651,1302.92620724,1333.7622375,1365.07849132,1396.87866272,1429.16644574,1461.94553439
3,Venusaur,Vine Whip,Petal Blizzard,36.5628625473,32,1170.01160151,1,198,200,160,13.4615384615,25.7271634615,0.4080145719,18.4660921956,1198.85173656,1228.15929457,1257.93801492,1288.19163699,1318.92390017,1350.13854385,1381.83930741,1414.02993022,1446.71415168,1479.89571117
3,Venusaur,Vine Whip,Solar Beam,38.6138537067,32,1235.64331861,1,198,200,160,13.4615384615,30.9487833595,0.3454179255,19.5019463165,1266.10123898,1297.05280235,1328.50195789,1360.45265473,1392.90884202,1425.8744689,1459.35348452,1493.34983802,1527.86747854,1562.91035524
4,Charmander,Ember,Flame Charge,15.2380952381,8.424,128.365714286,0,128,108,78,11.9047619048,10.3782642089,0.3454179255,11.9047619048,134.2059375,140.216785714,146.400669643,152.76,159.2971875,166.014642857,172.914776786,180,187.272723214,194.735357143
4,Charmander,Ember,Flame Burst,18.1098901099,8.424,152.557714286,1,128,108,78,11.9047619048,18.1547619048,0.358974359,14.1483516484,159.498594952,166.642256868,173.991565076,181.549384615,189.318580529,197.302017857,205.502561641,213.923076923,222.566428743,231.435482143
4,Charmander,Ember,Flamethrower,19.5567765568,8.424,164.746285714,1,128,108,78,11.9047619048,24.0045155993,0.2788461538,15.278731685,172.241706806,179.956110319,187.892590198,196.054240385,204.444154823,213.065427455,221.921152226,231.014423077,240.348333952,249.925978795
4,Charmander,Scratch,Flame Charge,15.36,8.424,129.39264,0,128,108,78,12,8.364516129,0.2788461538,12,135.279585,141.33852,147.571875,153.98208,160.571565,167.34276,174.298095,181.44,188.770905,196.29324
4,Charmander,Scratch,Flame Burst,17.1487058824,8.424,144.460698353,1,128,108,78,12,14.5857142857,0.5404411765,13.3974264706,151.033191084,157.79770243,164.75694537,171.913632882,179.270477946,186.83019354,194.595492644,202.569088235,210.753693294,219.152020798
4,Charmander,Scratch,Flamethrower,19.5274878587,8.424,164.499557722,1,128,108,78,12,19.2655172414,0.4481236203,15.2558498896,171.983753491,179.686603728,187.611197744,195.760624848,204.137974349,212.746335556,221.588797781,230.668450331,239.988382517,249.551683649
5,Charmeleon,Ember,Fire Punch,22.6605222734,16.24,368.00688172,1,160,140,116,11.9047619048,18.1547619048,0.3612903226,14.1628264209,380.29162884,392.844372043,405.667979301,418.765318587,432.139257873,445.792665131,459.728408333,473.949355453,488.458374462,503.258333333
5,Charmeleon,Ember,Flame Burst,22.6373626374,16.24,367.630769231,1,160,140,116,11.9047619048,18.1547619048,0.358974359,14.1483516484,379.902961023,392.442875,405.253376202,418.33732967,431.697600446,445.337053571,459.258554087,473.464967033,487.959157452,502.743990385
5,Charmeleon,Ember,Flamethrower,24.445970696,16.24,397.002564103,1,160,140,116,11.9047619048,24.0045155993,0.2788461538,15.278731685,410.255240474,423.797028646,437.631022561,451.760316163,466.188003395,480.917178199,495.95093452,511.2923663,526.944567483,542.910632011
5,Charmeleon,Scratch,Fire Punch,21.4462049861,16.24,348.286368975,1,160,140,116,12,14.5857142857,0.5429362881,13.4038781163,359.912809079,371.792884066,383.929308223,396.324795834,408.982061184,421.90381856,435.092782245,448.551666526,462.283185688,476.290054017
5,Charmeleon,Scratch,Flame Burst,21.4358823529,16.24,348.118729412,1,160,140,116,12,14.5857142857,0.5404411765,13.3974264706,359.739573398,371.613930188,383.744512758,396.134034088,408.785207158,421.700744945,434.883360429,448.335766588,462.060676402,476.060802849
5,Charmeleon,Scratch,Flamethrower,24.4093598234,16.24,396.408003532,1,160,140,116,12,19.2655172414,0.4481236203,15.2558498896,409.640832377,423.162340042,436.975615836,451.083749068,465.489829049,480.196945088,495.208186495,510.526642578,526.155402649,542.097556015
6,Charizard,Ember,Fire Blast,33.8302792321,28.392,960.509287958,1,212,182,156,11.9047619048,30.7854239257,0.2146596859,15.9576788831,984.655310659,1009.19951734,1034.14513944,1059.49540838,1085.25355559,1111.4228125,1138.00641054,1165.00758115,1192.42955575,1220.27556577
6,Charizard,Ember,Dragon Claw,31.8630952381,28.392,904.657,1,212,182,156,11.9047619048,30.6547619048,0.1666666667,15.0297619048,927.398964844,950.515959821,974.01102846,997.887214286,1022.14756083,1046.79511161,1071.83291016,1097.264,1123.09142467,1149.31822768
6,Charizard,Ember,Flamethrower,32.3909111722,28.392,919.64275,1,212,182,156,11.9047619048,24.0045155993,0.2788461538,15.278731685,942.761438176,966.261368905,990.145636129,1014.41733379,1039.07955584,1064.13539621,1089.58794884,1115.44030769,1141.6955667,1168.3568198
6,Charizard,Wing Attack,Fire Blast,41.10719865,28.392,1167.11558407,1,212,182,156,15,30.862804878,0.2767598843,19.3901880424,1196.45543506,1226.27911973,1256.59056457,1287.3936961,1318.69244085,1350.49072531,1382.792476,1415.60161944,1448.92208214,1482.75779061
6,Charizard,Wing Attack,Dragon Claw,39.2393229167,28.392,1114.08285625,1,212,182,156,15,31.0416666667,0.21875,18.5091145833,1142.08952966,1170.55805176,1199.49217063,1228.89563437,1258.77219109,1289.12558887,1319.95957581,1351.2779,1383.08430955,1415.38255254
6,Charizard,Wing Attack,Flamethrower,38.5620847751,28.392,1094.85471093,1,212,182,156,15,24.0818965517,0.3512110727,18.1896626298,1122.37801241,1150.35519145,1178.78993144,1207.68591581,1237.04682796,1266.87635129,1297.17816921,1327.95596512,1359.21342244,1390.95422457
7,Squirtle,Bubble,Aqua Jet,15.2419732441,12.496,190.463697659,1,112,142,88,13.5869565217,13.6375462535,0.4338461538,13.6089046823,198.378211344,206.504921875,214.846585056,223.405956689,232.185792578,241.188848526,250.417880337,259.875643813,269.564894757,279.488388974
7,Squirtle,Bubble,Aqua Tail,18.0260254648,12.496,225.253214208,1,112,142,88,13.5869565217,24.2758441258,0.234608985,16.0946655936,234.613368759,244.224479383,254.089805251,264.212605531,274.596139393,285.243666008,296.158444546,307.343734175,318.802794066,330.538883388
