PkMn, PokeName, Quick Move Name, Charge Move Name, Attack, Defense, Att*Def, Should use charge, Base Attack, Base Defense, Base Stamina, Quick Move PPS, Charge Move PPS, Charge PPS Active Fraction, Total PPS, IV10%, IV20%, IV30%, IV40%, IV50%, IV60%, IV70%, IV80%, IV90%, IV100%, Defender Quick Move PPS, Defender Charge PPS Active Fraction, Defender Total PPS, D_IV0%, D_IV10%, D_IV20%, D_IV30%, D_IV40%, D_IV50%, D_IV60%, D_IV70%, D_IV80%, D_IV90%, D_IV100%
1,Bulbasaur,Vine Whip,Sludge Bomb,22.9850591716,11.34,260.650571006,1,126,126,90,13.4615384615,26.7788461538,0.358974358974,18.2421104536,271.341701877,282.317272855,293.580977968,305.136511243,316.987566707,329.137838388,341.591020312,354.350806509,367.420891004,380.804967825, 3.30188679245, 0.120769741208, 5.16697080292,73.8277456204,76.8559457402,79.9647118522,83.155090268,86.4281272993,89.7848692575,93.2263624544,96.7536532014,100.36778781,104.069812592,107.860773859
1,Bulbasaur,Vine Whip,Seed Bomb,21.2274208145,11.34,240.718952036,1,126,126,90,13.4615384615,21.1698717949,0.439215686275,16.8471593766,250.592545673,260.728828643,271.131212494,281.803108778,292.747929044,303.969084842,315.469987721,327.254049231,339.324680922,351.685294344, 3.30188679245, 0.161151079137, 5.15786755211,73.6976747316,76.7205397205,79.8238287593,83.008586316,86.2758568589,89.6266848561,93.0621147759,96.5831910863,100.190958256,103.886460752,107.670743044
1,Bulbasaur,Vine Whip,Power Whip,22.1542553191,11.34,251.229255319,1,126,126,90,13.4615384615,31.25,0.231678486998,17.5827423168,261.53395113,272.112805851,282.969379987,294.107234043,305.529928524,317.241023936,329.244080785,341.542659574,354.140320811,367.040625, 3.30188679245, 0.0688685874912, 4.58099086437,65.4550298665,68.1398054561,70.8960101458,73.7245715862,76.626417428,79.6024753217,82.6536729181,85.7809378678,88.9851978215,92.2673804298,95.6284133433
1,Bulbasaur,Tackle,Sludge Bomb,20.1380808081,11.34,228.365836364,1,126,126,90,10.9090909091,26.715034965,0.320987654321,15.9826038159,237.732741004,247.348854394,257.217413011,267.341653333,277.724811837,288.370125,299.280829299,310.460161212,321.911357216,333.637653788, 3.87096774194, 0.14364640884, 6.0011803114,85.7472647614,89.2643690051,92.8750466527,96.5805129433,100.381983116,104.28067241,108.277796064,112.374569316,116.572207407,120.871925575,125.27493906
1,Bulbasaur,Tackle,Seed Bomb,18.8591587517,11.34,213.862860244,1,126,126,90,10.9090909091,21.1060606061,0.398009950249,14.9675863109,222.634894844,231.640311533,240.882141248,250.363414925,260.087163501,270.05641791,280.274209091,290.743567978,301.467525509,312.449112619, 3.87096774194, 0.190023752969, 5.94284891672,84.9138024617,88.3967204977,91.9723024055,95.641751612,99.4062715439,103.267065628,107.225337292,111.282289962,115.439127065,119.697052029,124.057268279
1,Bulbasaur,Tackle,Power Whip,18.9456521739,11.34,214.843695652,1,126,126,90,10.9090909091,31.25,0.202898550725,15.0362318841,223.655961277,232.702679348,241.986894701,251.511652174,261.279996603,271.294972826,281.559625679,292.077,302.850140625,313.882092391, 3.87096774194, 0.0828402366864, 5.3624260355,76.6204881657,79.7632384893,82.9896024408,86.3006659116,89.6975147929,93.181234976,96.7529123521,100.413632812,104.164482249,108.006546551,111.940911612
2,Ivysaur,Razor Leaf,Sludge Bomb,26.6657134307,18.96,505.581926645,1,156,158,120,12.9310344828,26.7655835544,0.300867888139,17.0934060453,521.730387838,538.216144665,555.042658541,572.213390882,589.731803102,607.601356616,625.825512838,644.407733183,663.351479066,682.660211901, 5.4347826087, 0.153166421208, 7.47206845767,221.005852014,228.064855187,235.271300951,242.6267024,250.132572627,257.790424727,265.601771793,273.568126919,281.691003199,289.971913728,298.412371597
2,Ivysaur,Razor Leaf,Solar Beam,28.276022808,18.96,536.11339244,1,156,158,120,12.9310344828,30.93552076,0.288518155054,18.1256556462,553.237039185,570.71835043,588.560996621,606.768648201,625.344975618,644.293649316,663.61833974,683.322717336,703.410452549,723.885215824, 5.4347826087, 0.145616641902, 7.79669646974,230.607569504,237.973254847,245.492788503,253.167749303,260.999716078,268.99026766,277.140982879,285.453440566,293.929219552,302.569898669,311.377056747
2,Ivysaur,Razor Leaf,Power Whip,25.548712206,18.96,484.403583427,1,156,158,120,12.9310344828,31.25,0.188129899216,16.3773796193,499.875601029,515.670785274,531.792452583,548.243919373,565.028502065,582.149517077,599.61028083,617.414109742,635.564320234,654.064228723, 5.4347826087, 0.0887480190174, 6.89381933439,203.902630745,210.415351129,217.064103803,223.850284766,230.775290016,237.840515551,245.047357369,252.39721147,259.891473851,267.531540511,275.318807448
2,Ivysaur,Vine Whip,Sludge Bomb,28.4576923077,18.96,539.557846154,1,156,158,120,13.4615384615,26.7788461538,0.358974358974,18.2421104536,556.791509939,574.385136169,592.34241887,610.667052071,629.362729798,648.43314608,667.881994943,687.712970414,707.929766522,728.536077293, 3.30188679245, 0.120769741208, 5.16697080292,152.82659562,157.707929819,162.691221268,167.777516281,172.967861168,178.263302241,183.664885812,189.173658192,194.790665693,200.516954627,206.353571305
